Nama,Negara,Tipe Kamar,Detail Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Evaluasi,Judul,Komentar
"Meylin","Indonesia","One Bedroom Pool Villa","Stayed 1 night in June 2024","Family with young children","October 13, 2024","7.6","Very good","Villa terpencil","Villanya bersih dan cantik. Posisi cocok buat yg mau semedi, krn cukup jauh dr Ubud kota. Tapi sayangnya amenitiesnya kurang ya, rak handuk gak ada padahal ada private pool. Posisi pool ke kamar mandi hrs nyebrang kamar, jadi kamar basah2, keset minim. Hair dryer super limited, butuhnya malem, malah mau dianternya pagi krn belum tersedia katanya (yah rambutnya keburu kering donk). Jumlah tempat sampah jg minim untuk size villa segitu. Harga makanan cukup pricey, dan ga punya pilihan lain 😢 padahal jauh dari mana2, minimarket sekalipun."
"Christiani","Indonesia","One Bedroom Pool Villa","Stayed 1 night in June 2024","Couple","July 22, 2024","9.2","Exceptional","Exceptional","Kesini untuk honeymoon, rasa makanan standar, room nya bagus dan luar serta benar2 private. Sayang pool nya kurang bersih, jd kami tdk jadi bermain di pool."
"Arvind","India","Two Bedroom Pool Villa","Stayed 1 night in October 2024","Family with young children","October 20, 2024","7.2","Very good","Nice resort with less facilities","No buffet breakfast they serve with fix menu. food is average but rooms are clean and with basic amenities. grab taxi is available there for local transport. No market is nearby"
"Lucie","United Kingdom","Deluxe One Bedroom Private Pool Villa","Stayed 1 night in May 2024","Couple","May 19, 2024","6.4","Good","Quiet and relaxing","The first room we stayed in was quite bad, not as nice as the pictures. The sun loungers were missing from the pool, holes in the decking, sharp nails and loose planks making it a bit of a trip hazard. The pool was dirty, staff did ask if we wanted it cleaned when we arrived - this didn’t happen until the next day. The bathroom in the morning had a bad sewer smell coming from it, enough to wake us up. The air con was good and the bed was very comfortable. We extended our stay by one day due to me hurting my knee, the second room was beautiful and new! And looked just like the pics of our original booking. Second room was located on the other side of the road where there is a pool for all guests (for some reason we were never told that the other building existed when we arrived). This villa is around 40 minutes from the centre, due to traffic (not just up the road like other reviews suggest) Be prepared to sit in a lot of traffic if you are planning to do trips, go to town etc. There is a spa, and a restaurant - we had to ask for the menus. I think the check-in could be improved to cover in more detail the facilities of the hotel, give guests a tour etc. staff was instead quite pushy in selling tours/excursions, all of which we’d already booked online so wasn’t necessary - and they seemed disappointed about that and kept asking what our plans were, who we booked with, where we’re going etc."
"Anindya","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in October 2023","Couple","September 16, 2024","7.2","Very good","Nyaman bersih dan tenang","Lokasinya pedesaan sangat tenang. Cocok untuk yang sedang cari ketenangan jauh dari keramaian kota. Tempat bersih dan masih baru."
"shabrina","Indonesia","One Bedroom Pool Villa","Stayed 1 night in September 2024","Couple","September 14, 2024","7.2","Very good","Hidden gem villa","Nice place to stay with family. In the morning toilet smells bad from sink maybe. No hairdryer. Breakfast standard."
"Siti","Singapore","Deluxe One Bedroom Private Pool Villa","Stayed 3 nights in September 2024","Family with young children","September 09, 2024","7.6","Very good","Amenities","The place wss too deep inside and it's very hard to get a gojek to go to the town. The towel that they gave its dirty to use. i hope in the future they could gave a clean one...staff was very nice."
"Ramaraju","India","Two Bedroom Pool Villa","Stayed 1 night in April 2025","Family with young children","April 20, 2025","6.0","","Room is ok but no support for travel facilities","This is bit far from the city, but I was expected some facility for transport like rent for bike or car. But here is no service for rent for bike and for car it is too expensive and they are not allowing for external service also which was faced issues"
"Sahil","India","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in November 2024","Couple","November 26, 2024","4.8","","Acceptable","Location is very far from centre, very hard to find Gojek & grab. No basic amenities provided. No phone service in room you have to WhatsApp them if you need any help. Service very slow. Frog and insects voice inside villa in night. Not much options for vegetation in restaurant. Ac water coming inside room."
"VINKA","Indonesia","Three Bedroom Villa","Stayed 1 night in July 2025","Family with young children","July 15, 2025","6.4","Good","Not in accordance with the price.","With the price ***, I received a room and treatment that was less than pleasant from the front office staff. 1. I was repeatedly asked to pay an extra charge (extra person). For a 3-bedroom, I came with 6 adults + 3 kids under 8 years. I was asked to pay extra charges twice for which I didn't know the reason. I understand that I will pay for the extra breakfast. But is it necessary to charge for kids sharing a bed with their parents? Each room only had 2 + 1 people, which I think is VERY STANDARD for hotels. Why was I continuously asked to pay extra charges per person? In the end, after they saw the proof that I booked the villa for 6 adults + 2 children, having 1 extra child is still very reasonable. For a three-bedroom, by the way. 2. One towel was clean white, while the other one was a dirty gray. Even the bath mat was much cleaner than the bath towels. 3. No coffee. Only tea bags were provided. After I requested, they brought me a cup of instant coffee 😅. How is that possible? Meanwhile, the terms and conditions state that benefits include coffee & tea. 4. Bees! In the evening, there were about 20 bees in our villa. They even entered the bedroom 🥲. This was the scariest part. Breakfast was just OK. Maybe because we were local guests, we were thought to cheat. But please check the condition of the villa when we checked out. We even brought our own garbage bag to help maintain cleanliness."
