Nama,Negara,Tipe Kamar,Detail Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Evaluasi,Judul,Komentar
"Lee","Malaysia","One Bedroom Pool Villa","Stayed 1 night in December 2018","Couple","December 28, 2018","7.2","Very good","Bright & cozy room","This villa is in a very quiet & secluded area. Took me more than 2hours ride to arrive in this peak season. The price for a pool villa like this is quite reasonable. I personally like the cozy bedroom & spacious bathroom a lot despite that there are a lot of flies all over the place including the breakfast area."
"Andi","Indonesia","Two Bedroom Pool Villa","Stayed 4 nights in December 2018","Group","December 25, 2018","5.2","","Don’t expect a 5* experience","From the airport, it took about 2-2.5 hours to reach the villa, with parts of the road not having streetlights, so it’s quite dangerous on rainy nights (the roads were meandering too, with cliffs on the side). The rooms were clean, we stayed in a two-bedroom villa called Juwet. However, the plumbing wasn’t that good and one of the room smelled (we had to constantly turn the exhaust fan on). Plus there were LOTS of flies (which probably wasn’t their fault) but it added to the inconvenience. Imagine wanting to relax in the common room but there were about 40ish flies buzzing around at noon. At nights or when it rained hard there weren’t as many flies. Staffs were very friendly and eager to help, but they’re clearly not trained nor experienced. One of us asked for half-boiled or soft-boiled eggs, they came out too hard, or 80% raw. After a few tries, we gave up. Fruit slices were mainly dry, food experience in general wasn’t something to look forward for. And with the flies buzzing around, they put out cutleries in the open, which I think is not hygienic. Some of them asked us for our villa key so that they could clean our villa, which was weird since they should have their own keys. We didn’t give it, but later on someone tried to return the villa key to us (the key was actually their own set). The liquid soap in the bathroom needed to be refilled so we left the container open, but the housekeeper didn’t refill it. Asking your complimentary breakfast to be delivered to your room will cost you 200K IDR. Some hotels and villas offer this service for free. It wasn’t completely horrible, as the air was clean and fresh. It was refreshingly cold as well. But we think we won’t be coming back."
"Darrell","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in September 2018","Couple","November 22, 2018","10.0","Exceptional","honeymoon pack","great place for honeymoon"
"yunhye","South Korea","Two Bedroom Pool Villa","Stayed 1 night in October 2018","Couple","October 15, 2018","9.2","Exceptional","Excellent service by staff","The villa is clean and beautiful. The best thing about that villa is the friendly staff especially the manager. The manager had great communication and was very attentive. Will be coming back!"
"Elissa","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in October 2018","Couple","October 10, 2018","9.6","Exceptional","Beautiful Secluded Villa","Our first impression of the place was very secluded but peaceful environment, we arrived and personally greeted by our names from one of the staffs. The villa located in ridge, so you can enjoy the true Ubud jungle ambiance, it has lustful of greeneries scene (very epic in our opinion) from the rice paddy fields to the big ancient trees around the complex and thus the cool weather of it. Once you arrive, the first sight on your left is open air style terrace with bamboo furnitures and your right is villa's restaurant. And if you have the good physical fitness, you can jog down a few hundred metres to the ravine where one of the local ancient Pura (Hindu's prayer hall or church for Christian believers) located. The villa also provided a few bicycles for free. You can also try their in house massage services, they have some packages starting from IDR 200k+++. My husband liked the "Meapun Massage" it's a deep tissue massage with constant pressure concentrated on your back and shoulders."
"yan","Singapore","One Bedroom Pool Villa","Stayed 1 night in September 2018","Couple","September 30, 2018","9.6","Exceptional","Excellent","We are greeted with a warm smile upon check in. The villa is beautiful and peaceful. Morning breakfast is fabulous too! Totally recommend this place for some peaceful time."
"Wing","Hong Kong SAR, China","One Bedroom Pool Villa","Stayed 1 night in September 2018","Couple","September 27, 2018","6.4","Good","Good","Just found this hotel open for one month hence staff are inexperience, especially the chep takes 1 hr to prepare breakfast in super big portion and taste is too salty. Then the toothpaste inside the room seems used."
"Safira","Indonesia","One Bedroom Pool Villa","Stayed 1 night in February 2024","Family with young children","April 19, 2024","8.0","Excellent","Very good","The place is comfortable, but it's a bit on the outskirts of Ubud, somewhat far from the city. But overall, everything is comfortable. The price is cheap and the quality is great. Recommended."
"Jawey","Malaysia","One Bedroom Pool Villa","Stayed 2 nights in March 2024","Couple","March 24, 2024","2.4","","Worst villa that I ever stayed","If possible, I will just give 0 out of 5 stars to this villa. This the suck and poorest villa that I ever stayed in my entire life. For those who are looking for accommodation in Bali, please do avoid this villa. I just don’t understand why they can did things like this. Not professional and the way they talked to the guests also very suck. In fact, I will stay with them for 2 nights but I just check out after 1 night. Can you all imagine how bad experiences that I had. Here are the things that I want to highlight:- 1. Villa is very very far from the city. You can’t even get any gojek, grab here. Cause they banned online transport to their area. Force guest to use their transporter, the price is much more higher than in transport applications. Can imagine the price in Gojek is RP 87k but they told us if we use their transporter the charge will be RP 302k. That’s ridiculous. 2. Private Pool is not clean at all. I think they didn’t manage it properly. 3. There are a lot of flies in the room 4. Customer service here is really really bad. Even the manager can’t solve our problems. Keep saying sorry. I was like sorry for what? We just need to solution to be solved. Some more when the staffs came into our room, they just wore their shoe and walked into our room. That’s not hygiene man. 5. There are not any restaurants around their villa and they only serve for breakfast and dinner with charge. The only best part I can say is the room is huge. That’s the best part. Other than this, very suck! Better don’t spend your night with them it will just affect your mood of travelling."
"Jolyn","Singapore","Two Bedroom Pool Villa","Stayed 3 nights in March 2024","Group","March 14, 2024","6.4","Good","Good","friendly and helpful staff, can work on cleanliness and provide better necessities. Bedroom slippers not provided, hair dryer have to request every day. Could have install lights along the corridor and inside at the villa entrance as it is too dark to walk in at night time. Not convenient, no transport to leave villa area. Have to book for their transportation in order to go elsewhere."
"Nadya","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in February 2024","Couple","February 25, 2024","10.0","Exceptional","NUMBER ONE","Came here for our honeymoon and we definitely made the right choice, no regrets at all, the staff is extremely friendly and goes the extra mile for customers. There was a bit of a miscommunication about the kitchen equipment since it's only in the 2/3 bedroom, but don’t worry if you've already brought cooking ingredients, you can ask the chef to cook for you with an extra charge depending on what dish you want to prepare. For those who want to be away from the crowds and need peace, this place is really perfect, top-notch. 🫶🏻"
"Putri","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in February 2024","Family with young children","February 21, 2024","9.2","Exceptional","Exceptional","The villa is somewhat set back from a small road, but the place is peaceful and the villa is clean, with all spots being very aesthetic and homey. It's perfect for those who want to relax away from the crowds. The staff is also very nice; at night I asked them to buy mineral water and instant noodles at the shop, and they got them for me. Thank you, Daun Lebar Villa!"
"merliana","Indonesia","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in January 2024","Couple","January 28, 2024","6.8","Good","Good","If you want a place away from the crowds, this place is suitable for you. The villa is quite clean and everything is well-maintained, surrounded by rice fields, in a quiet atmosphere. If I may suggest, for room 201, it could be covered with trees or something because it can be seen from the front."
"Syarif","Indonesia","One Bedroom Pool Villa","Stayed 1 night in December 2023","Family with young children","January 05, 2024","10.0","Exceptional","The village is comfortable.","The villa is comfortable, quiet, far from the hustle and bustle... The food is also delicious."
"Lovish","India","Three Bedroom Villa with Private Pool","Stayed 4 nights in December 2023","Group","January 01, 2024","10.0","Exceptional","Amazing stay at a fantastic property","We had an amazing stay at this fantastic property. The location was perfect, allowing us to easily explore the surrounding area. The staff was incredibly friendly and helpful, making us feel welcome from the moment we arrived. The cleanliness of the property was impeccable, and the facilities provided exceeded our expectations. From the comfortable sleep to the reliable Wi-Fi, everything was top-notch. The bathroom was clean and well-maintained. The value for money was excellent, and we would highly recommend this property to anyone looking for a great place to stay. Overall, it was a truly exceptional experience."
"Stephen","Indonesia","Deluxe One Bedroom Private Pool Villa","Stayed 1 night in October 2023","Couple","October 30, 2023","9.6","Exceptional","A villa that is worth it.","The price is in line with the facilities and cleanliness, and everything is clean, the plants inside the villa are well-maintained, it's truly enjoyable to stay in this villa."
"Mohamed","Saudi Arabia","One Bedroom Pool Villa","Stayed 4 nights in October 2023","Couple","October 27, 2023","8.0","Excellent","Recommendation","It would be better if the villas have a bell insted of knocking the door. Also, also the instects every where because of the lack of cleaning. Tge place need a daily maintainace"
"Novelia","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in August 2023","Family with young children","August 21, 2023","9.6","Exceptional","Nice Villa with large bath room","I really like this Villa, it located in quiet area. And it is very clean. I get 2 nights here, with 2 different rooms. One is 2 rooms and the other nights is 3 rooms. When in 2 rooms, there is many ant in the bed. Make me a little worry with it. But it still ok. And the staff help us move our luggage when our in travelling. The bathroom is really huge. Especially in the master room, come with good shower gel, shampoo and conditioner. The hot water shower make me feel like having a massage in my back, I really like it. The bed is big and comfortable. The living room is nice too with good wifi and Netflix."
"Enggar","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in July 2023","Family with young children","July 29, 2023","8.0","Excellent","Beautiful villa that needs maintenance.","PROS: 👍 Nice villa located in a remote area with lush green scenery. 🏊 Private swimming pool in the 3-bedroom suite, perfect for bringing a large family. 🫶 No stairs, making it very suitable for elderly people with knee problems. CONS: 🤳 Got a price of around 2.6 million per night from July 23 to 24, 2023, but upon arrival, the room wasn’t ready for check-in because the toothbrush kits and soap for handwashing at the sink were missing in every bathroom. 🚿 The shower in the main room is leaking. 🛁 The bathtub never fills up because the drain cover is a bit loose. Also, the water flow into the bathtub is not strong enough. SUGGESTION: 🔨🪛 Please maintain the shower and bathtub to make it "worth the price" because it’s quite difficult to bathe my 7-month-old baby. Waiting for the bathtub to fill feels like forever :("
"Katerina","Singapore","One Bedroom Villa with Private Pool","Stayed 4 nights in May 2023","Couple","June 06, 2023","9.6","Exceptional","Awesome Stay","Location is far from airport, takes 2.5 hours to reach which this is what we expected. As we already do our research before we book. Villa to Ubud market takes 40min drive, for food wise you may order grab delivery which is convenient. There are many restaurants, cafe and temple to visit around Ubud. Just that Ubud don’t have beach, you may need to travel to Kuta beach which is 2 hours drive. Staff was super helpful and friendly, breakfast timing start between 7am - 11am, even we woke up late at 12.30pm for breakfast, they are so kind and still prepare the breakfast for us. Kindly note, if you need hair dryer and kettle, you need to request from receptionist and they will send to your room. Room itself don’t have hair dryer and kettle. The Villa pool was nice, room and toilet was big and clean, but sadly they do not have gym facilities. Overall was great experience staying 5 days 4 nights, will be back again."
"Melanie","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in May 2023","Family with young children","May 21, 2023","8.0","Excellent","Very good","The villa is nice but needs extra maintenance; the pool tiles are broken, and the walls are peeling. The location is very far as it is located in a small alley and residential area. For those who enjoy a peaceful atmosphere away from the hustle and bustle, this is a suitable place to stay; it is very quiet and tranquil. The breakfast option is limited for Indonesian food, only fried rice or fried noodles. There is no microwave in the villa. Thanks."
"Milashni","Malaysia","Two Bedroom Pool Villa","Stayed 2 nights in March 2023","Group","March 20, 2023","6.8","Good","Beautiful but far away.","Daun lebar was in the outskirts of ubud, about 40 minutes drive from ubud center. Staff are friendly and great. The rooms were very spacious and clean however the pool and pool chair could use some maintenance. The restaurant is very expensive compared to other places, very difficult to get food since this villa is far away from the center. Staff were very friendly, helpful and accommodating. They helped us to get a driver at a reasonable price to travel around ubud. Overall it’s a beautiful place to stay if you’re not planning to do many activities during your stay."
"Hudiono","Indonesia","Three Bedroom Villa","Stayed 2 nights in February 2023","Family with young children","February 19, 2023","9.6","Exceptional","Quiet and Peaceful Villas","Daun Lebar Villas is located about 30 minutes north of Ubud main street. It's quiet, peaceful and surrounded by rice fields. We stayed at the 3 Bedroom VIlla since it has the largest pool, which the kids loved. The staffs were extremely friendly and helpful during our stay. The kitchen and some parts of the bathroom, however, needs better cleaning. That aside, we definitely enjoyed our stay in Daun Lebar."
"Herson","Indonesia","Two Bedroom Pool Villa","Stayed 7 nights in September 2022","Couple","October 15, 2022","8.0","Excellent","Very good","Villas have pretty space inside. Mordern style, but some parts needed to be renovate. Our villa had 2 bedrooms+Open living room. Big kitchen,but not equiped for cooking, had only kettle. Villas have delivery of food to number, menu not variety but taste is good. If you like to stay for quite place, here is best option. But unfortunately too far to Central of Ubud (around 40minutes using a car). Pool’s water is not warmed , so water feeling little cold to swim . Pool have a good shape, but some details of floor was damaged, so be careful. Be ready, that on villa there are many different insects,especially ants. Stuff is very nice and friendly, ready to help. They help us with organizing Birthday surprises, with flowers and cake. In the end, we had great impression and memories about this villa."
"Ana-Maria","Spain","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in August 2024","Family with young children","September 02, 2024","6.0","","Above average","Tuvimos un problema con la reserva por nuestra culpa y en vez de 2 habitaciones tuvimos solo 1. Por culpa de este problema tuve que pedir una cama extra. Cuando regresamos de nuesta excursion por la noche vi que la cama extra era en realidad un colchon en el suelo con sabanas. Al dia siguiente al hacer el check out por la manana nos cobraron 500000 ripias el equivalente a 30 euros por el colchon. Le explique a la recepcionista que no me parece normal que me cobren 30 euros por un colchon en el que no pude dormir. Aparte, el botones me rompio una rueda de la maleta. Solicite poner una reclamacion y me dieron una hoja de papel blanca. Pedi el email del responsable, envie 2 emails a las que aun no tengo ninguna respuesta. Me parece una tomadura de pelo y una falta de respeto."
"Ana-Maria","Spain","Two Bedroom Pool Villa","Stayed 2 nights in September 2024","Family with young children","September 04, 2024","4.4","","Maleta rota y una cama extra un colchon en el suelo","Muy mala experiencia con ellos.Pedimos una cama extra y al llegar tarde de visitar encontramos un colchon en el suelo.Eso no es una cama extra y se duerme muy mal.Encima no te dicen el precio que me parecio bastante alto y el chico que nos llevo la maleta le rompio una rueda y al reclamar no contestaron ni nos dieron ninguna solucion.A diferencia de unos dias , nuestra amiga que tenia que ir a Daun pregunto por la resolucion del problema y dijeron que la maleta podria ya haber estado rota, cosa que no es verdad ya que cuando llegamos al hotel funccionaban las 4 ruedas."
"Diana","Vietnam","Deluxe One Bedroom Private Pool Villa","Stayed 1 night in October 2023","Couple","October 18, 2023","8.0","Excellent","Villa Bonita.","La villa bastante bien, aunque no tenía utensilios de cocina, ni cocina para hacerse nada, aún así la habitación está muy bien y nueva. Lo mejor el masaje que nos dimos de 90 min, uno de los mejores de bali"
"mustapha","France","Two Bedroom Pool Villa","Stayed 3 nights in July 2024","Family with young children","July 12, 2024","10.0","Exceptional","Villa","Complexe de villas en plein milieu des rizières. Le personnel est accueillant et très gentil. Je recommande 👍👍👍"
"Natasha","Switzerland","Two Bedroom Pool Villa","Stayed 3 nights in June 2024","Family with young children","June 24, 2024","9.2","Exceptional","Villa avec piscine 2 chambres","Tout était au top Le personnel la nourriture la propreté le seul hic c’est que vous ne pouvez pas prendre de taxi online attention c’est uniquement les taxi qui travaille avec l’hôtel donc plus chère"
"Ben","France","Two Bedroom Pool Villa","Stayed 3 nights in October 2024","Family with young children","October 19, 2024","3.2","","Incompétent","Trop loin de tout et les chambres sont sale. J’avais demandé à changer de chambre ils m’ont mis à côté des cuisines ça sentais mauvais et du coup j’ai demandé à changer il m’a dit ok et pour finalement me remettre dans la chambre sale une incompétence totale. Je recommande pas."
"Veronique","France","Two Bedroom Villa With Private Pool","Stayed 2 nights in October 2023","Family with teens","October 27, 2023","8.0","Excellent","Relaxant","Villa avec 2 chambres et piscine privée ! Calme et tranquillité Un peu loin de la ville! Mais agréable !!"
"zhiwei","Singapore","Two Bedroom Pool Villa","Stayed 2 nights in February 2023","Group","April 29, 2023","8.8","Excellent","Excellent","nice place"
"Khadija","France","Two Bedroom Pool Villa","Stayed 4 nights in October 2018","Couple","October 28, 2018","9.2","Exceptional","Un merveilleux séjour!","Nous avons passé 4 jours au sein de notre petite villa. Le seul hic et que 4 jours c’est trop peu!!! - La villa est magnifique, décorée avec beaucoup de goût et impeccable au niveau de la propreté. - Le petit dej et diner peuvent être servis tous les jours dans la villa, le petit dej est très varié et très bon! Quel plaisir de se réveiller et de trouver le petit dej prêt. - Nous avons également essayé le spa, rien a dire top! Super expérience - Nous avons fait une journée tour d’ubud et environs en voiture( waterfall, temples, rizière et plantation de café) avec Sandy je recommande c’était vraiment sympa. - Le staff est hyper serviable et d’une gentillesse jamais vu! Merci à eux de nous avoir chouchouté! - le centre ville d’ubud est un peu loin (40 min en scoot), vous pouvez louer le scooter directement a l’accueil Bref un séjour inoubliable!"
"Anke","Germany","Two Bedroom Pool Villa","Stayed 2 nights in August 2023","Group","August 24, 2023","10.0","Exceptional","Exceptional","Traumhaft schön!"
"Shalana","Indonesia","Three Bedroom Villa","Stayed 3 nights in July 2024","Family with young children","July 23, 2024","9.2","Exceptional","Lovely staff!","Very lovely people, hideaway from “tourist” Bali"
"Samina","Netherlands","One Bedroom Pool Villa","Stayed 1 night in July 2019","Couple","July 29, 2019","4.8","","Heerlijke villa, eten veelste duur","De villa was erg mooi, groot en schoon! Van alle luxe voorzien. De locatie is erg afgelegen en er zit helemaal niets in de omgeving dit zorgt ervoor dat je wel moet eten bij Daun lebar. Dit is opzich geen probleem echter is het eten erg matig van kwaliteit en erg duur. Voor een nasi goreng betaal je 70K excl. 21% tax. Bij een gewone warung betaal je daar Max 45K voor. Daarbij is het handig als je een driver hebt. Vanuit Daun Lebar hebben ze drivers die ongeveer het dubbele vragen dan een gewone driver en het driedubbele van een Grab taxi. (600k naar canggu). Prima villa om een nachtje je terug te trekken uit de drukte van Bali."
"Tatiana","Timor-Leste","Three Bedroom Villa","Stayed 3 nights in March 2024","Family with young children","March 29, 2024","4.4","","Very very far away from everything","We stayed 3 nights at the villa, it was very far from everything... 40 minutes to ubud center, nothing near the hotel to see... No markets or restaurants near by, so we depend on the hotel restaurant for everything, and the hotel restaurant was very poor... The villa was beautiful but need some maintenance. The massage on the spa was never avaliable."
"Mariko","Japan","One Bedroom Pool Villa","Stayed 2 nights in April 2024","Couple","May 06, 2024","8.0","Excellent","スタッフが良かったです","場所が思ったより遠く不便でしたが、スタッフの対応がとても良かったです！ シャワーの水圧も今までで一番ありました！ ルームサービスもしましたが、ご飯も美味しかったです。"
"AIKO","Japan","Three Bedroom Villa","Stayed 2 nights in September 2019","Group","September 17, 2019","8.4","Excellent","リッチでオシャレな滞在にオススメ！","3ベッドルームに友人と3人で宿泊しました(*^^) v1人一部屋で、めちゃくちゃ良かった!!料金は、高くないです◎ ロビーから、ヴィラ全てがオシャレだし、部屋もキレイで虫も少なめです。 虫除けスプレーを部屋にシュッとしといたら、全然いなかったです。 ただ、ゴミ箱はトイレ横のサニタリーゴミ箱(少し大きめ)しか各部屋にありません。 あとは、リビングの流しの下のみ。 あと、栓抜きがリビングにも1本もなく、1日目はスプーンで開ける羽目に(ㆆ_ㆆ) 電話したら、ルームサービスの人が居ないから明日しか分からないと言われました！ 各部屋の歯磨き用の水もビンなのに、、、 あと、ドライヤーがメインベッドルームに1個しかありません。しかも小さい風量イマイチなやつ。そして、1日目に壊れました～。ドライヤーと栓抜きは持参がイイかもです(￣▽￣) 旅行前のやり取りのレスポンスも早く安心な宿です！ただ、バースデー祝いは有料でサービスないみたいです。 バリで流行りのフローティングブレックファーストも出来るみたいですよ！ ビール5本とピザセットとかもあったな～。 ヴィラでまったりもオススメです！ プールも広く、リビングも寛げました！ また行きたい！！ ただ、ウブドの北側になるので空港から直接来ちゃうと2時間半もかかります。 バリの車や運転で、2時間半はキツいです！ 寄り道しながら、向かうのがオススメですよ(^^♪"
"Anchaya","Thailand","Deluxe One Bedroom Villa with Private Pool","Stayed 1 night in August 2024","Couple","September 04, 2024","3.6","","Acceptable","Location and Service: The hotel is quite far from the city center. The staff entered the room before the official check-out time to notify us, which was inconvenient. Additionally, there was only one shuttle service available, leading to long wait times and insufficient transportation options for guests. Hot Water Issue: The hot water in the room was not working. Although we reported it for repair, the problem was not resolved during our stay, which affected our comfort."
"Verathep","Thailand","Deluxe One Bedroom Private Pool Villa","Stayed 1 night in December 2023","Couple","December 25, 2023","8.8","Excellent","Nice private pool villa","Villa looks quite new with full facilities. Pool is very big then you can enjoy with enogh space. Don't forget to take photo at dinning place. It's very beautiful view."
"Mudjai","Thailand","Three Bedroom Villa","Stayed 1 night in October 2018","Group","November 01, 2018","10.0","Exceptional","ที่พักน่ารัก สะอาด ใหม่ การดูแลดีเยี่ยมมากค่ะ","การบริการดีมากค่ะ พนักงานน่ารักทุกคน และอาหารอร่อยถูกปากคนไทยมาก แนะนำเลยค่ะ อาจจะอยู่ห่างจากอูบุดหน่อย แต่ถ้าสำหรับกรุปครอบครัวที่อยากพักผ่อน แนะนำเลยค่ะ"
"Agus","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in August 2022","Group","August 04, 2022","8.4","Excellent","Villa yang keren","Villa yang sangat bagus nyaman keren luas. Tp sayang hanya jauh kemana2 dan akses gofood dan grabfood susah. Jd harus beli makanan dulu sblom k villa"
"Diah","Indonesia","One Bedroom Pool Villa","Stayed 1 night in August 2020","Group","August 22, 2020","10.0","Exceptional","Beautiful villa","Tempatnya keren fasilitas lengkap banyak spots buat fotoan, adem banget banyak tanaman disekitar villa, tempatnya ditengah desa jadi sensasi naturalnya kerasa banget"
"Romi","Indonesia","Three Bedroom Villa","Stayed 2 nights in September 2018","Group","September 24, 2018","8.4","Excellent","Daun Lebar Villa","Lokasi nya di tengah sawah sehingga cocok untuk tamu yang mencari ketenangan dan suasana persawahan. Fasilitas cukup lengkap sampai apabila hendak masak sendiri. Kualitas bangunan baru dan bagus walaupun ada beberapa yang masih dapat disempurnakan mengingat baru buka 1 bulan yang lalu."
"Yuet","Hong Kong SAR, China","Three Bedroom Private Pool Villa","Stayed 6 nights in November 2023","Group","November 18, 2023","3.6","","Ridiculous Villa experience","So many insects , Every where in the bedroom and living room. The most severe is in the living room with hundreds of dead insects on the sofa and floor. The staff also got shocked by the crazy scenario."
"CHIN","Hong Kong SAR, China","Deluxe One Bedroom Villa with Private Pool","Stayed 3 nights in June 2023","Couple","June 20, 2023","5.2","","Above average","地方偏遠，設備未齊就比房入住，無熨斗無枱，用蒸餾咖啡機代替電熱水壺。淋浴間第一日去唔到水，要叫人維修。"
"JUI-CHEN","","Two Bedroom Pool Villa","Stayed 1 night in December 2018","Group","April 01, 2019","6.0","","Above average","雖然也在烏布但其實離烏布皇宮市區有半小時以上車程距離，交通並不方便，要有入住後到退房不會再出門的打算，也沒有什麼娛樂設施，villa游泳池尚可，因為在山中所以房內濕氣較重，比較建議是一家人入住，不然真會有些無聊。"
"nga","Hong Kong SAR, China","One Bedroom Pool Villa","Stayed 1 night in January 2019","Couple","January 28, 2019","9.6","Exceptional","屈機","酒店如圖所示 十分美 房間沒有什麼昆蟲 泳池乾淨 酒店的餐廳東西是很好吃 十分推薦 除了位置有點遠 搵間附近風景很值得 很喜歡"
"YAYU","Taiwan","One Bedroom Pool Villa","Stayed 2 nights in January 2019","Family with young children","January 05, 2019","4.0","","浪費時間","地點偏遠 房間和餐廳都不乾淨很多蒼蠅（揮蒼蠅揮到不用吃早餐）而且也不好吃啦～還有蜥蜴？ 跑來偷吃漂浮早餐⋯ 電燈壞了說隔天會來修但是也沒來 除了一位戴牙套的小姐人很好 不厭其煩的幫助我們 是一位可愛的小姐 其他人就算了 尤其是按摩的那位小姐 爛斃了"
"CHUNG-LING","Taiwan","Two Bedroom Pool Villa","Stayed 2 nights in August 2018","Family with teens","August 12, 2018","9.6","Exceptional","非常滿意","我們是villas開幕第一批入住的房客，各方面都非常滿意，除了地點離市區遠了些外其他都無可挑惕，推薦給大家"
"Tsz","Hong Kong SAR, China","Two Bedroom Pool Villa","Stayed 2 nights in September 2024","Group","September 16, 2024","2.4","","Bad service and amenities with slow response","On the first day, everything looks nice, but there is not hairdryer in the room, I need to contact the staff bring 2 for us. When we ask for how to turn on the ceiling fan in the room, the staff told us that was the decoration, however the fan suddenly turn on automatically. I don’t know that they don’t want to tell us or for other reason, it is a little bit odd, but we are fine about this. When we come back the villa at night, after shower we want to take a bath before sleep, but there was no hot water for the bath tub. On the second day morning, there is still no hot water for the bath tub, so we contact the staff through whatsapp, but there response is really really slow, they finally sent someone to check with the tube after one hour later after we contacted them, which delay my whole schedule on that day. Anyway, when I asked for change another room with hot water provided in the tub, they accepted and changed for us. We tried the water before we leave in the afternoon , it is hot enough for taking a bath, and I also reminded the staff to prepare 2 hairdryers in our room. However, when we came back at night, the hot water for bath tub was stopped AGAIN!!! Even for shower only. The staff NEVER told us the hot water will stopped after 12 am, or even I asked about this, they didn’t replay me. And, the water flow was very very slow, even worse than the room that we stayed on the first night. So me and my family cannot use the tub again as we bring lots of bath bomb here for relaxation, it really upset us and ruin our holiday. Also, there is no hairdryer in the room, so I need to go out to ask for it in the late night and they can only provide one for us and even not work properly. I told them about this situation at late night and I also ordered the breakfast at 9am, I understood that this is not their operation hour, so I expected that they we reply us in the next morning. I woke up at 830am in the next morning, still cannot hear any reply through the whatsapp. And after 9am, the breakfast did not sent to our room, so I need to walk out directly to the reception and ask them did they check my messages, unfortunately they didn’t, they check the messages in front of me… I understood that their operation is from 7am to 11pm, but why they didn’t check the messages when they work again, I think I have provided enough time for them to reply, even just for the breakfast but not the problem in our room. Later on, they ask for the engineer to check with the tube, but it is 10am already. We cannot use the tube even they fixed it, they come in and out in the villa, which disturb our breakfast time. Finally the engineer told me that he fixed the tube now but need to wait 30 mins for hot water at 1030am, but we need to check out at 12pm, so we definitely cannot use the tube before we leave. The villa really disappointed me and my family and ruined our holiday as we spend quite a lot of time to deal with this. If the villa only cost me $500HKD/night, I can accept all this problem. But it’s not, the villa charged me $1300HKD/nighht, I don’t think that this service and the amenities is expected. And I will not recommend this villa to all of my friends and family because of the really bad experience this time, I believe there will be other villa better than this in ubud at this price. I hope Agoda will so some follow up with my situation and I hope Agoda won’t disappoint me."
"LEE","South Korea","Three Bedroom Private Pool Villa","Stayed 2 nights in August 2024","Family with young children","September 05, 2024","7.6","Very good","2박","가족이 묶기좋음 우붓이시내랑 멀지만 직원이택시 불러주고 아주 친절..숲세권이라 도마뱀..벌레가 많음 주위."
"DeokSeong","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in May 2024","Group","May 29, 2024","2.0","","발리까지 왔는데 이런 숙소 때문에... 비추천","다른 사람들은 모르겠으나 공항에서 부터 2시간?? 시속 20~40km 속력으로?? 적어도 3시간은 잡아야 한다 어디를 갈려고 해도 숙소로 돌아올려면 1시간 ~ 2시간 걸려서 너무 불편하다 숙소 도착하였으나 주차장도 쫍고 짐옴기게 도와주는 사람도 없다 숙소 입구까지 가는 길도 어둡고 바닥이 미끄럽고 냄새가 많이 난다 숙소 입고에 전들이 고장나 문열쇠를 한참 찾고 이동시 문열쇠가 너무 불편하게 되어 있다 숙소 입실시 데크가 많이 깨져잇어서 아이들이 놀다가 다칠까 겁이난다 또한 쥐들이 많으니 음식물을 조심하라고 하는데... 먹으라는건지 말라는건지... 주변에 먹을수 있는것들이 없기에 룸서비스를 시켯지만 음식이 제대로 된건지 안된건지.... 아무리 비가 많이 왔다고 하지만 수영장 물이 너무 더럽고 이용하기 싫을 정도였다 3베드룸을 신청하였는데 욕조는 1개가 다였고 뜨거운 물도 잘 안나온다고 항의 했다 인포메이션에 연락할 수 잇는 방법은 개인 핸드폰으로 연락해야 한다 숙소 내 커튼 먼지 자국도 많고 세탁을 안했는지 너무 더러웠다 이불과 캐노피에는 찌든때와 피 자국이 잇엇다 베게는 침자국이 그대로 있엇고 화장실 배변기가 고장나서 물채워지는 소리가 계속나서 잠도 설쳤다 방마다 귀금속을 보관하는 금고가 잇어야 하는데 1개만 있엇고 모든 중요항목을 거기에 넣어야 한다는 건가.... 사진을 업로드 해주고 싶은데 리뷰에는 그런 항목이 없다 아마 컴플레인하면 이숙소다 아니다고 비아냥 거리겠지만 고액의 숙소를 잡을때는 리뷰한번 읽어봐주자 발리까지 왔는데 하필 숙소를 잘못 잡아서 이틀을 버린 것 같다 가성비도 별로고 숙소에서 할 수 있는것이 없다"
"Joan","New Zealand","One Bedroom Pool Villa","Stayed 3 nights in April 2024","Group","April 29, 2024","8.4","Excellent","Good place to stay","It has bit of distance from Ubud city but and quiet place to stay. very friendly staff. Time to change some of facilities and fix.Overall we enjoyed our stay."
