username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Teja,Indonesia,Double Room with Mountain View,1 night,Couple,04-27-2024 00:00:00,A,9.0,en-us,The view and the nature are just perfect. Good staying for couple and also a family.,They just need more staff stand by inside the restaurant. But the foods are good ！,title: A. liked: The view and the nature are just perfect. Good staying for couple and also a family. disliked: They just need more staff stand by inside the restaurant. But the foods are good ！.,title: A. liked: The view and the nature are just perfect. Good staying for couple and also a family. disliked: They just need more staff stand by inside the restaurant. But the foods are good ！.,0,0,
Cornelia,Germany,Double Room with Mountain View,1 night,Group,04-25-2024 00:00:00,Good,7.0,en,"The Hotel had a very idyllic setting and the breakfast was very varying. Great Staff, very forthcoming and friendly.","Just know that it can get very lour, because of the Broad fauna as well as the Street nearby, making it sometimes Sound as if a Motorbike is driving through your room.","title: Good. liked: The Hotel had a very idyllic setting and the breakfast was very varying. Great Staff, very forthcoming and friendly. disliked: Just know that it can get very lour, because of the Broad fauna as well as the Street nearby, making it sometimes Sound as if a Motorbike is driving through your room.","title: Good. liked: The Hotel had a very idyllic setting and the breakfast was very varying. Great Staff, very forthcoming and friendly. disliked: Just know that it can get very lour, because of the Broad fauna as well as the Street nearby, making it sometimes Sound as if a Motorbike is driving through your room.",0,0,
Daniel,United States,Double Room with Mountain View,4 nights,Couple,04-24-2024 00:00:00,Wonderful place to stay with beautiful grounds.,9.0,en-us,"Beautiful garden setting. The cabin was private, really nice and unique. The patio overlooked the grounds, which were beautiful as mentioned. The food in the on-site restaurant was pretty good and reasonably priced. The staff was friendly. It was nice to have a free shuttle to places in town.","It would've been really nice if it had a small refrigerator. Also, wash rags and hand towels would've been nice.","title: Wonderful place to stay with beautiful grounds. liked: Beautiful garden setting. The cabin was private, really nice and unique. The patio overlooked the grounds, which were beautiful as mentioned. The food in the on-site restaurant was pretty good and reasonably priced. The staff was friendly. It was nice to have a free shuttle to places in town. disliked: It would've been really nice if it had a small refrigerator. Also, wash rags and hand towels would've been nice.","title: Wonderful place to stay with beautiful grounds. liked: Beautiful garden setting. The cabin was private, really nice and unique. The patio overlooked the grounds, which were beautiful as mentioned. The food in the on-site restaurant was pretty good and reasonably priced. The staff was friendly. It was nice to have a free shuttle to places in town. disliked: It would've been really nice if it had a small refrigerator. Also, wash rags and hand towels would've been nice.",0,0,
Daria,Indonesia,Double Room with Mountain View,1 night,Group,04-24-2024 00:00:00,Good,7.0,en-us,"I’ve been at this place 4 years ago. It’s a very nice garden and view, and a cozy fireplace at the restaurant area. 5 minutes from Bratan lake. Staff is very friendly","Staff need really to handle the humidity situation at the rooms. Pillows smells very strong with humidity, same as the room itself. Food was pretty good 4 years ago, but now it’s really not interesting. Also as they build a new road around the hotel it’s very noisy, especially with crazy local bikers at the custom bikes at 10 pm. I know road is not the problem of hotel, but it’s really not the nicest thing if you go out to chill at the mountains. Also room has bathtub, but it’s not enough water to fill even half of it(","title: Good. liked: I’ve been at this place 4 years ago. It’s a very nice garden and view, and a cozy fireplace at the restaurant area. 5 minutes from Bratan lake. Staff is very friendly. disliked: Staff need really to handle the humidity situation at the rooms. Pillows smells very strong with humidity, same as the room itself. Food was pretty good 4 years ago, but now it’s really not interesting. Also as they build a new road around the hotel it’s very noisy, especially with crazy local bikers at the custom bikes at 10 pm. I know road is not the problem of hotel, but it’s really not the nicest thing if you go out to chill at the mountains. Also room has bathtub, but it’s not enough water to fill even half of it(","title: Good. liked: I’ve been at this place 4 years ago. It’s a very nice garden and view, and a cozy fireplace at the restaurant area. 5 minutes from Bratan lake. Staff is very friendly. disliked: Staff need really to handle the humidity situation at the rooms. Pillows smells very strong with humidity, same as the room itself. Food was pretty good 4 years ago, but now it’s really not interesting. Also as they build a new road around the hotel it’s very noisy, especially with crazy local bikers at the custom bikes at 10 pm. I know road is not the problem of hotel, but it’s really not the nicest thing if you go out to chill at the mountains. Also room has bathtub, but it’s not enough water to fill even half of it(",1,0,
John,Australia,Double Room with Mountain View,3 nights,Couple,04-16-2024 00:00:00,Pleasant enough,8.0,en,Good room with a nice verandah with table and chairs. Good food in their restaurant and very accomodating and pleasant staff.,On an intersection of 3 busy roads with crazy noisy motor bikes all day. Noise eased off later at night so sleeping was ok overall.,title: Pleasant enough. liked: Good room with a nice verandah with table and chairs. Good food in their restaurant and very accomodating and pleasant staff. disliked: On an intersection of 3 busy roads with crazy noisy motor bikes all day. Noise eased off later at night so sleeping was ok overall.,title: Pleasant enough. liked: Good room with a nice verandah with table and chairs. Good food in their restaurant and very accomodating and pleasant staff. disliked: On an intersection of 3 busy roads with crazy noisy motor bikes all day. Noise eased off later at night so sleeping was ok overall.,1,0,
Nathalie,France,Double Room with Mountain View,2 nights,Family,04-07-2024 00:00:00,Good,7.0,en,The room was clean with a small terrace and bathtub. The hotel is located close to all the major attractions of Bedugul,The hotel is located next to a big road which was not a big problem sleepwise but breakfast at the restaurant was quite noisy,title: Good. liked: The room was clean with a small terrace and bathtub. The hotel is located close to all the major attractions of Bedugul. disliked: The hotel is located next to a big road which was not a big problem sleepwise but breakfast at the restaurant was quite noisy.,title: Good. liked: The room was clean with a small terrace and bathtub. The hotel is located close to all the major attractions of Bedugul. disliked: The hotel is located next to a big road which was not a big problem sleepwise but breakfast at the restaurant was quite noisy.,0,0,
Marina,Indonesia,Double Room with Mountain View,2 nights,Couple,12-26-2023 00:00:00,Very good,8.0,en,Very well-made cabins & highly maintained flower garden. Staff were incredibly accommodating & friendly. Fireplace & pool table at the bar/resto would've been essential for families & bigger groups.,Food was bland. No info that certain things in the breakfast menu ran out. TV didn't work. Not enough hot water to fill up the bath. FLIES everywhere with no effort from hotel to get rid of them.,title: Very good. liked: Very well-made cabins & highly maintained flower garden. Staff were incredibly accommodating & friendly. Fireplace & pool table at the bar/resto would've been essential for families & bigger groups. disliked: Food was bland. No info that certain things in the breakfast menu ran out. TV didn't work. Not enough hot water to fill up the bath. FLIES everywhere with no effort from hotel to get rid of them.,title: Very good. liked: Very well-made cabins & highly maintained flower garden. Staff were incredibly accommodating & friendly. Fireplace & pool table at the bar/resto would've been essential for families & bigger groups. disliked: Food was bland. No info that certain things in the breakfast menu ran out. TV didn't work. Not enough hot water to fill up the bath. FLIES everywhere with no effort from hotel to get rid of them.,0,0,
Amanda,Canada,Twin Room with Mountain View,1 night,Family,12-11-2023 00:00:00,Superb,9.0,en-us,"The ground were beautiful, the cabin was very cute, the pictures don’t do it justice.",It was a bit noisy by the highway,"title: Superb. liked: The ground were beautiful, the cabin was very cute, the pictures don’t do it justice. disliked: It was a bit noisy by the highway.","title: Superb. liked: The ground were beautiful, the cabin was very cute, the pictures don’t do it justice. disliked: It was a bit noisy by the highway.",0,0,
Jerry,United Kingdom,Double Room with Mountain View,3 nights,Couple,11-03-2023 00:00:00,Excellent friendly service in a beautiful location.,8.0,en,"The breakfast was very good, prepared for us at a time chosen by us on the veranda (could have been restaurant) Always preferable to a buffet for us! The restaurant food was some of the best Indonesian food we’ve had in Bali.",For the price & location it exceeded my expectations Air conditioning would have been nice but it’s usually cool at this high altitude - the fan did a good job.,"title: Excellent friendly service in a beautiful location. liked: The breakfast was very good, prepared for us at a time chosen by us on the veranda (could have been restaurant) Always preferable to a buffet for us! The restaurant food was some of the best Indonesian food we’ve had in Bali. disliked: For the price & location it exceeded my expectations Air conditioning would have been nice but it’s usually cool at this high altitude - the fan did a good job.","title: Excellent friendly service in a beautiful location. liked: The breakfast was very good, prepared for us at a time chosen by us on the veranda (could have been restaurant) Always preferable to a buffet for us! The restaurant food was some of the best Indonesian food we’ve had in Bali. disliked: For the price & location it exceeded my expectations Air conditioning would have been nice but it’s usually cool at this high altitude - the fan did a good job.",2,0,
Max,Indonesia,Twin Room with Mountain View,2 nights,Couple,10-29-2023 00:00:00,On the Hill,7.0,en-us,Staff very helpful,"Food selection poor, too many Flys,feels like it is struggling for customers. Over priced for area. Without a car very remote to go anywhere. No coffee machine,no selection of beer.","title: On the Hill. liked: Staff very helpful. disliked: Food selection poor, too many Flys,feels like it is struggling for customers. Over priced for area. Without a car very remote to go anywhere. No coffee machine,no selection of beer.","title: On the Hill. liked: Staff very helpful. disliked: Food selection poor, too many Flys,feels like it is struggling for customers. Over priced for area. Without a car very remote to go anywhere. No coffee machine,no selection of beer.",0,0,
